gene_id	colors
ENSG00000111218.12	brown
ENSG00000111262.6	brown
ENSG00000111319.13	turquoise
ENSG00000111344.11	grey
ENSG00000111664.11	turquoise
ENSG00000111863.13	blue
ENSG00000112041.13	turquoise
ENSG00000112186.12	turquoise
ENSG00000112195.9	brown
ENSG00000112379.9	turquoise
ENSG00000112414.15	turquoise
ENSG00000112494.10	grey
ENSG00000112559.15	turquoise
ENSG00000112619.8	turquoise
ENSG00000112742.10	brown
ENSG00000112812.16	brown
ENSG00000112936.19	yellow
ENSG00000113088.6	yellow
ENSG00000113209.9	blue
ENSG00000113211.5	blue
ENSG00000113248.6	turquoise
ENSG00000113296.14	turquoise
ENSG00000113327.17	turquoise
ENSG00000113361.13	turquoise
ENSG00000113389.16	turquoise
ENSG00000113396.13	grey
ENSG00000113430.10	turquoise
ENSG00000113494.17	blue
ENSG00000113578.18	yellow
ENSG00000113722.17	turquoise
ENSG00000113739.10	blue
ENSG00000113805.8	turquoise
ENSG00000113924.12	blue
ENSG00000114019.15	turquoise
ENSG00000114200.10	blue
ENSG00000114251.15	turquoise
ENSG00000114270.17	blue
ENSG00000114374.13	grey
ENSG00000114638.8	blue
ENSG00000114698.15	turquoise
ENSG00000114757.19	brown
ENSG00000114805.18	brown
ENSG00000114948.13	blue
ENSG00000115009.13	yellow
ENSG00000115041.13	grey
ENSG00000115163.15	brown
ENSG00000115221.12	yellow
ENSG00000115252.18	blue
ENSG00000115339.14	turquoise
ENSG00000115361.8	turquoise
ENSG00000115380.20	blue
ENSG00000115386.6	grey
ENSG00000115414.21	turquoise
ENSG00000115461.5	turquoise
ENSG00000115474.7	turquoise
ENSG00000115507.10	turquoise
ENSG00000115590.14	grey
ENSG00000115616.3	turquoise
ENSG00000115648.14	blue
ENSG00000115665.9	grey
ENSG00000115844.11	grey
ENSG00000115850.10	brown
ENSG00000116031.9	turquoise
ENSG00000116132.12	turquoise
ENSG00000116183.11	grey
ENSG00000116254.18	brown
ENSG00000116285.13	turquoise
ENSG00000116678.20	turquoise
ENSG00000116774.12	turquoise
ENSG00000116785.14	turquoise
ENSG00000116824.5	brown
ENSG00000116882.15	blue
ENSG00000116985.12	turquoise
ENSG00000117013.17	grey
ENSG00000117069.15	turquoise
ENSG00000117090.15	brown
ENSG00000117152.14	blue
ENSG00000117215.15	yellow
ENSG00000117322.18	brown
ENSG00000117399.14	brown
ENSG00000117407.17	turquoise
ENSG00000117472.10	blue
ENSG00000117525.14	turquoise
ENSG00000117560.8	yellow
