id	filename	md5	size	state
67ada567-fef4-4800-926a-100027c65203	67ada567-fef4-4800-926a-100027c65203/337c9a15-5946-4798-aa96-09832ed9f6fd.wxs.aliquot_ensemble_masked.maf.gz	e131af310a04230c3da6ace4b616b265	22515	validated
67b0256d-4ba7-43b4-a85f-e20102ed7dcc	67b0256d-4ba7-43b4-a85f-e20102ed7dcc/28dcca38-944c-407f-8e03-06abfdc6ab35.wxs.aliquot_ensemble_masked.maf.gz	7a76287600d36b301d2fbf320e7d0ee8	129122	validated
6bfdb71b-1cc4-452b-8121-7c15d12dc578	6bfdb71b-1cc4-452b-8121-7c15d12dc578/e26989c8-9a88-4696-bfaa-7b256e7e37c3.wxs.aliquot_ensemble_masked.maf.gz	ec93cb79bc67531c664abf7477ad3113	11229	validated
6e20cf4a-e9e1-4042-866d-5d9079707c0d	6e20cf4a-e9e1-4042-866d-5d9079707c0d/7301bd0e-f660-4df9-8ac3-7c2c2d3b8403.wxs.aliquot_ensemble_masked.maf.gz	b37862527cd36d65116dacf8a25059d9	17268	validated
6ee85029-62ee-4493-bf9d-5907d2d20a66	6ee85029-62ee-4493-bf9d-5907d2d20a66/6b2ed09e-dbe3-4174-aff0-a04cdf94560d.wxs.aliquot_ensemble_masked.maf.gz	e04c2770b4693e4e11e1a2d430a881fa	7956	validated
713e8e38-e238-40f1-b41a-d4b401bd3a31	713e8e38-e238-40f1-b41a-d4b401bd3a31/40ad1f6f-6e45-4767-91d0-9b0c9a4487d1.wxs.aliquot_ensemble_masked.maf.gz	b2041ddae092c16f556d43d27339ed94	15091	validated
7e5199c5-7a74-4347-979f-7a2d99f0f316	7e5199c5-7a74-4347-979f-7a2d99f0f316/78150dc1-02f1-468c-9988-7e39225b81fe.wxs.aliquot_ensemble_masked.maf.gz	40b472a8032576dc71c06af4cefc0433	11550	validated
7eeda8f4-5ae4-48b6-bfb0-7f2b34fc6287	7eeda8f4-5ae4-48b6-bfb0-7f2b34fc6287/cb78b6ee-e79d-4052-bb38-278bd484af51.wxs.aliquot_ensemble_masked.maf.gz	e8b9f2390df8b1c50f3542b12347e56d	18058	validated
7f6954f1-d972-4013-973d-905e5e4dd6c1	7f6954f1-d972-4013-973d-905e5e4dd6c1/88ec7f55-27f8-4dd7-823b-f7d63ca0f1de.wxs.aliquot_ensemble_masked.maf.gz	9e76f430e3aad3fc4af5609ae13ba811	13970	validated
86a31eb5-3c37-415a-9d9f-98c9a74c34ae	86a31eb5-3c37-415a-9d9f-98c9a74c34ae/b34f6365-a904-497d-98a3-a1676050e0fb.wxs.aliquot_ensemble_masked.maf.gz	55b414420f688c08ddd29aea600798ba	42566	validated
88869b00-1b03-45ec-8d0a-a95f2e5900e9	88869b00-1b03-45ec-8d0a-a95f2e5900e9/b00beb2c-9909-44ee-a4ae-ad80341f68c3.wxs.aliquot_ensemble_masked.maf.gz	65e253e4133ba7c0f14cc5c30cc5a62e	10913	validated
8ed47994-567f-492e-aad6-cd62d3ff9b1b	8ed47994-567f-492e-aad6-cd62d3ff9b1b/1ea21002-a85f-4b9c-9978-85485d45b78f.wxs.aliquot_ensemble_masked.maf.gz	95cb96a71b3fd6d70a42d13ead93418d	13080	validated
9351b944-20ff-4258-84dc-0dfa69507141	9351b944-20ff-4258-84dc-0dfa69507141/a74b540a-933e-4cbc-a9e9-b02ba6c06bfd.wxs.aliquot_ensemble_masked.maf.gz	ce8aa6b421741aea5e72945d20c17d4f	13759	validated
974278c2-0f01-4c3e-a6eb-6a8bb7cc2130	974278c2-0f01-4c3e-a6eb-6a8bb7cc2130/88e9c421-d77e-4b5c-b372-3d71f64417f2.wxs.aliquot_ensemble_masked.maf.gz	08f74525348c68bcd7688e1930d5b335	27944	validated
9a5b9543-37db-44a3-862c-8699f21fae25	9a5b9543-37db-44a3-862c-8699f21fae25/5126229a-c6e7-4fbc-87ee-557d3c300b18.wxs.aliquot_ensemble_masked.maf.gz	7d158e4c4d1ac98aadd65853bbbcc831	8531	validated
9c284794-1030-4f72-804f-d09c5415a839	9c284794-1030-4f72-804f-d09c5415a839/84bafd93-1689-4d33-905c-b0813a3a4838.wxs.aliquot_ensemble_masked.maf.gz	467b5a0aef168bf0992e45cf11095f59	10238	validated
9fecdf08-c622-48d2-85fe-388d530b7820	9fecdf08-c622-48d2-85fe-388d530b7820/892b9e2d-39a4-46d8-a799-46f4fa135657.wxs.aliquot_ensemble_masked.maf.gz	fb155f56a37dab60a0ead484f34bcf00	21281	validated
a4d28c23-8a86-4ac0-b9aa-f1269a5da31b	a4d28c23-8a86-4ac0-b9aa-f1269a5da31b/31d8be78-08ad-430b-babc-e479f541c674.wxs.aliquot_ensemble_masked.maf.gz	00bd17334acd0f5eb470a502fee7df5b	20419	validated
