"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"C10orf99","ENSG00000188373.5",1006.11471840251,-1.66043687298361,0.15501305576537,-10.711593709222,8.98023722857566e-27,1.36909595287509e-26,"Up in Cluster 4"
"PSTPIP1","ENSG00000140368.13",368.955847689001,0.502556484918269,0.0469331806950749,10.7079144749081,9.3443117567824e-27,1.42437155052944e-26,"Up in Cluster 7"
"PRND","ENSG00000171864.5",81.2115644208315,0.943109265109907,0.0880900670795831,10.7061930632642,9.51964083581008e-27,1.45101923128711e-26,"Up in Cluster 7"
"AL451007.1","ENSG00000232059.3",7.03320771970131,-0.531170578522029,0.0496167702188367,-10.7054646277716,9.59481193439387e-27,1.46239841248823e-26,"Up in Cluster 4"
"PRDM16-DT","ENSG00000177133.11",103.32615272393,0.881636117991459,0.0823968916392498,10.6998710807131,1.01919917121216e-26,1.55316721637414e-26,"Up in Cluster 7"
"ELOVL4","ENSG00000118402.6",212.641671339144,0.737409530133328,0.0689397488516056,10.6964348205071,1.05769778884078e-26,1.61157556500206e-26,"Up in Cluster 7"
"C1orf100","ENSG00000173728.11",5.11856206162609,-0.550529421141829,0.0514761244890199,-10.6948498280841,1.07593802983982e-26,1.63919124130952e-26,"Up in Cluster 4"
"CTSC","ENSG00000109861.17",11039.9430068219,0.522897673863419,0.0489016746881885,10.6928377647099,1.09954290737199e-26,1.67497312123648e-26,"Up in Cluster 7"
"GOLGA8B","ENSG00000215252.11",1094.73183882906,0.528834948784405,0.0494588166327066,10.6924302842032,1.10438549143196e-26,1.68225954931765e-26,"Up in Cluster 7"
"SLCO2B1","ENSG00000137491.15",4638.31427773117,0.537938966836344,0.0503185295431653,10.6906734302495,1.12550758883327e-26,1.71434169350727e-26,"Up in Cluster 7"
"AC073263.1","ENSG00000217702.3",15.0655161645344,0.570059910645447,0.053330532840834,10.6891846055017,1.14372043853044e-26,1.74198934164861e-26,"Up in Cluster 7"
"PURPL","ENSG00000250337.7",53.2504179958531,-1.09108105839962,0.102081003802387,-10.6883848880619,1.15362373410118e-26,1.75688405154118e-26,"Up in Cluster 4"
"TOMM20P4","ENSG00000230311.2",4.87670779349072,-0.626273509180462,0.0586060355366335,-10.6861606222962,1.18161721898043e-26,1.79932262461351e-26,"Up in Cluster 4"
"Y_RNA","ENSG00000202079.1",7.66811863563149,0.530872733324126,0.049680056233366,10.6858319731044,1.18581014470471e-26,1.80561040576315e-26,"Up in Cluster 7"
"STOML3","ENSG00000133115.12",14.3835730502576,-1.08239243442912,0.101331180054749,-10.6817312681477,1.23938417169077e-26,1.88647681556822e-26,"Up in Cluster 4"
"LINC00552","ENSG00000279770.1",4.41861283182693,-1.0581761584358,0.0990718127533492,-10.6809003391333,1.25052882390034e-26,1.90323567606341e-26,"Up in Cluster 4"
"FNDC10","ENSG00000228594.4",702.004523214118,-0.59116823399037,0.055353559063063,-10.6798595067187,1.26462902855371e-26,1.9243852727444e-26,"Up in Cluster 4"
"CD1D","ENSG00000158473.8",200.408345247877,0.545250321916594,0.0510588340270846,10.6788635562528,1.2782687553384e-26,1.94503636648005e-26,"Up in Cluster 7"
"PXDNL","ENSG00000147485.13",94.9314040920505,0.754609762647158,0.0706666235697739,10.6784465498352,1.28402296295026e-26,1.9536871408885e-26,"Up in Cluster 7"
"AL031280.1","ENSG00000233478.1",6.58519925664172,-0.906640198369367,0.0849317844125663,-10.6749222878122,1.33369069706117e-26,2.02904044347761e-26,"Up in Cluster 4"
"CHST6","ENSG00000183196.10",427.060955798388,0.868446808900388,0.0813730312654897,10.6724156074139,1.37017220703777e-26,2.08431855657147e-26,"Up in Cluster 7"
"AL845331.1","ENSG00000259916.1",4.64633119461264,0.920557466180427,0.0862633835481377,10.6714741332483,1.38412825843175e-26,2.10543558065127e-26,"Up in Cluster 7"
"AL713852.2","ENSG00000286378.1",5.51571462154077,1.03979721039326,0.0974524998353789,10.6697848916111,1.40952312579444e-26,2.14394930080974e-26,"Up in Cluster 7"
"AC126544.1","ENSG00000280022.1",15.1162872005179,0.545624160999645,0.0511375983955639,10.6697259573883,1.41041739121925e-26,2.14507918781579e-26,"Up in Cluster 7"
"C11orf97","ENSG00000257057.3",8.76670467186352,1.08097427893384,0.101313861690304,10.6695595340957,1.4129457294301e-26,2.14880913953965e-26,"Up in Cluster 7"
"E2F3P2","ENSG00000203435.2",3.87904748132935,0.592522798054188,0.0555380857820645,10.6687652213886,1.42507513907161e-26,2.16713922517647e-26,"Up in Cluster 7"
"CBX3P9","ENSG00000217241.1",10.4213480517427,-0.524594523980442,0.04917429495703,-10.6680639638829,1.43586933199996e-26,2.183436962315e-26,"Up in Cluster 4"
"AL161430.1","ENSG00000286334.1",6.09530552243904,-0.67056800789573,0.0628634802023981,-10.6670519312125,1.45159022276884e-26,2.20722427014083e-26,"Up in Cluster 4"
