gene_id,module
AC012063.1,grey
AC012065.2,skyblue3
AC012076.1,black
AC012081.2,magenta
AC012085.1,grey
AC012085.2,greenyellow
AC012101.2,green
AC012146.2,turquoise
AC012158.1,darkturquoise
AC012174.1,grey60
AC012181.1,brown
AC012181.2,brown
AC012184.3,salmon
AC012213.1,darkorange
AC012213.2,lightyellow
AC012213.3,green
AC012213.4,darkorange
AC012236.1,lightgreen
AC012254.3,brown
AC012254.5,yellow
AC012291.3,darkred
AC012313.1,salmon
AC012313.10,brown
AC012313.2,grey
AC012313.3,brown
AC012313.5,darkmagenta
AC012313.6,lightcyan
AC012313.8,grey
AC012317.2,turquoise
AC012339.1,plum1
AC012349.1,greenyellow
AC012354.1,turquoise
AC012355.1,turquoise
AC012358.2,red
AC012360.2,darkturquoise
AC012360.3,yellow
AC012363.1,darkgreen
AC012363.2,grey
AC012368.1,midnightblue
AC012368.2,grey
AC012368.3,midnightblue
AC012370.2,lightyellow
AC012378.2,midnightblue
AC012414.2,grey
AC012414.4,midnightblue
AC012433.2,black
AC012443.2,brown
AC012447.1,turquoise
AC012459.1,brown
AC012464.1,grey
AC012464.2,magenta
AC012485.1,brown
AC012485.3,brown
AC012494.1,grey60
AC012501.2,turquoise
AC012511.1,magenta
AC012513.3,purple
AC012531.1,brown
AC012569.1,greenyellow
AC012574.2,darkorange
AC012615.1,salmon
AC012615.4,brown
AC012615.6,brown
AC012618.1,tan
AC012618.2,brown
AC012618.3,white
AC012625.1,grey60
AC012640.1,salmon
AC012640.2,salmon
AC012640.5,grey
AC012645.1,salmon
AC012645.3,lightgreen
AC012645.4,yellow
AC012653.2,orangered4
AC012668.3,grey
AC012676.1,magenta
AC012676.3,salmon
AC012676.4,yellow
AC012676.5,brown
AC013268.3,grey
AC013268.4,pink
AC013287.1,red
AC013356.1,tan
AC013391.3,purple
AC013394.1,brown
AC013410.2,purple
AC013442.1,turquoise
AC013451.2,skyblue3
AC013457.1,grey
AC013460.1,blue
AC013468.1,yellow
AC013470.2,grey60
AC013486.1,blue
AC013553.3,blue
AC013553.4,yellow
AC013565.1,grey
AC013565.3,salmon
AC013643.2,brown
AC013643.3,turquoise
AC013652.1,grey
AC013701.2,grey
AC013724.1,grey
AC013731.1,yellow
AC013762.1,grey
AC015522.1,grey60
AC015574.1,saddlebrown
AC015631.1,saddlebrown
AC015656.1,turquoise
AC015660.1,pink
AC015660.2,red
AC015660.3,yellow
AC015660.5,red
AC015712.1,grey
AC015712.2,grey
AC015712.6,grey
AC015712.7,grey
AC015722.2,greenyellow
AC015726.1,yellow
AC015799.1,brown
AC015802.1,brown
AC015802.3,yellow
AC015802.4,yellow
AC015802.6,brown
AC015802.7,cyan
AC015813.1,yellow
AC015813.5,salmon
AC015813.6,turquoise
AC015818.2,yellow
AC015818.3,grey
AC015819.1,blue
AC015819.2,red
AC015819.3,violet
AC015849.1,yellow
AC015849.3,brown
AC015849.5,greenyellow
AC015853.1,brown
AC015853.2,grey
AC015871.3,salmon
AC015871.4,lightyellow
AC015871.6,yellow
AC015878.1,black
AC015883.1,salmon
AC015909.1,green
AC015909.5,brown
AC015911.3,blue
AC015911.7,blue
