ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR
ENSG00000170681,CAVIN4,ENSG00000170681.7,-2.0360234102166435,0.6178060292086123,54.28301157735538,2.358979312841334e-12,1.7621575466924766e-9
ENSG00000133454,MYO18B,ENSG00000133454.16,-2.4325598708719807,1.544869432094768,54.104490229257635,2.5867903192993417e-12,1.8657002178781047e-9
ENSG00000211951,IGHV2-26,ENSG00000211951.2,2.1900391533565866,0.3052274226307277,53.73318662747795,3.054138731730916e-12,2.1293455237627948e-9
ENSG00000273449,AC093788.1,ENSG00000273449.1,0.8775672748761807,-0.8356296087444959,53.4721484810041,3.402115628948565e-12,2.295440338551232e-9
ENSG00000227081,AC005912.1,ENSG00000227081.5,0.8185029444149015,3.3101109968306455,53.07853103059369,3.889390319905534e-12,2.542202747848255e-9
ENSG00000260361,AC106028.3,ENSG00000260361.1,0.7185573235351974,0.45149428194853003,52.760910526714234,4.5720154796024704e-12,2.8850672020732196e-9
ENSG00000260296,AC095057.3,ENSG00000260296.1,0.8864553218276066,0.5950222076736413,52.69254002638602,4.689820466173717e-12,2.8850672020732196e-9
ENSG00000248713,C4orf54,ENSG00000248713.1,-2.111720015747969,-0.34884667141627784,52.097982751669825,4.886726779101311e-12,2.9203079231909436e-9
ENSG00000245849,RAD51-AS1,ENSG00000245849.8,0.6378418701224181,3.704727134862359,51.61066736924773,7.238843108121187e-12,4.128005999896613e-9
ENSG00000240399,AC004801.2,ENSG00000240399.1,0.984772223204163,-0.7184131842676127,51.67743210629226,7.302362879908906e-12,4.128005999896613e-9
ENSG00000134962,KLB,ENSG00000134962.7,-2.2425163932274197,2.711590511471174,51.35766730233193,8.126101486626228e-12,4.472777334059847e-9
ENSG00000077009,NMRK2,ENSG00000077009.13,-1.833148674060834,-0.712138495606948,50.321476503331155,1.0019804590520617e-11,5.373698277316133e-9
ENSG00000073605,GSDMB,ENSG00000073605.18,1.1301064918138406,3.469580644873092,50.735434502435545,1.0503145953037599e-11,5.492095018843361e-9
ENSG00000242338,BMS1P4,ENSG00000242338.6,0.7682490085272835,-1.3572832446784329,50.35358260896536,1.1728623239328452e-11,5.983314235946193e-9
ENSG00000144583,MARCHF4,ENSG00000144583.5,1.7926459613075798,-0.27806022784453344,50.25252195529176,1.3305706406511488e-11,6.6262417904427215e-9
ENSG00000257621,PSMA3-AS1,ENSG00000257621.8,0.36276408878694,5.053860012944894,50.086564052054676,1.3843525732716113e-11,6.733748470360238e-9
ENSG00000114854,TNNC1,ENSG00000114854.8,-2.9240032178730773,5.172078816239144,49.72894711705073,1.6136708097708996e-11,7.670804240265485e-9
ENSG00000273066,AL355987.4,ENSG00000273066.5,1.0685560940136474,1.524818535933421,49.47302058795411,1.8124113871640033e-11,8.424088127538288e-9
ENSG00000160808,MYL3,ENSG00000160808.11,-2.695752448875435,3.1605391505046296,48.09593904555943,3.270420912906328e-11,1.4709840902394729e-8
ENSG00000118729,CASQ2,ENSG00000118729.12,-1.4598182527419732,2.8084248102193246,48.0622002480808,3.3054241844164864e-11,1.4709840902394729e-8
ENSG00000203799,CCDC162P,ENSG00000203799.13,1.435814110112194,-0.5867351957929772,47.93827809474922,3.574743222666953e-11,1.5576943592771245e-8
ENSG00000138100,TRIM54,ENSG00000138100.14,-2.280714612329384,0.9227300401911798,47.60947655606962,4.045746036854421e-11,1.726955594017287e-8
ENSG00000254718,AL157756.1,ENSG00000254718.6,0.949922937558907,0.9689588826981556,47.29156184291096,4.653228325810188e-11,1.946538473252918e-8
ENSG00000236519,LINC01424,ENSG00000236519.1,0.850796297194988,-1.7058871549616357,46.32506021182805,5.949696180795741e-11,2.440075398382818e-8
ENSG00000240291,AL450384.2,ENSG00000240291.1,0.8316603661266468,1.0158488565066903,46.41235618424691,6.792004172620892e-11,2.731953062971896e-8
ENSG00000197616,MYH6,ENSG00000197616.13,-2.406339911847378,0.7900499652870371,46.16834724344811,7.43490074573177e-11,2.9341204527872776e-8
ENSG00000171724,VAT1L,ENSG00000171724.3,-1.8454359720266458,-0.6085604735738765,45.62292895724055,8.160269605325634e-11,3.0796088153413577e-8
ENSG00000101605,MYOM1,ENSG00000101605.13,-1.7816871386076478,4.183671590782376,45.896062163340765,8.397082444720948e-11,3.0796088153413577e-8
ENSG00000163380,LMOD3,ENSG00000163380.16,-1.8598953104543623,1.3815002910025933,45.92667537862779,8.434719302354921e-11,3.0796088153413577e-8
ENSG00000126790,L3HYPDH,ENSG00000126790.12,0.5341669556725509,2.7815861557636783,45.87924143953557,8.461629064176453e-11,3.0796088153413577e-8
ENSG00000275413,AC002553.2,ENSG00000275413.1,0.8353705143018283,-1.2267140066806792,45.80252155972138,8.539745232826484e-11,3.0796088153413577e-8
ENSG00000275426,AC253576.2,ENSG00000275426.1,0.8447668226985371,-1.3801842665484287,45.380144771209,9.954392828785723e-11,3.486900200643694e-8
ENSG00000146963,LUC7L2,ENSG00000146963.18,0.32173634788957833,5.4040428243485765,45.45176956878795,1.0176367165833924e-10,3.486900200643694e-8
ENSG00000261159,AC112484.3,ENSG00000261159.1,0.9846696948542114,-0.16712006233544513,45.50583979452702,1.0302919835229909e-10,3.486900200643694e-8
ENSG00000071127,WDR1,ENSG00000071127.17,-0.2891993442164405,8.013312398850733,45.4159035474187,1.0336001742202573e-10,3.486900200643694e-8
ENSG00000140465,CYP1A1,ENSG00000140465.14,-2.1351368328780915,0.5190631223625802,44.80952814734419,1.3409178564362349e-10,4.4518472833683e-8
ENSG00000271384,AL161729.3,ENSG00000271384.1,0.9737804006824524,-0.7338214158751126,44.81965708577029,1.3764619025378312e-10,4.4984495552314494e-8
