ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000278879,AP000560.1,ENSG00000278879.1,-0.37417391945347434,-2.168729548052591,10.969334260803494,9.738281316426645e-4,0.002045355368516892,Cluster2_vs_Cluster1,1,2
ENSG00000116001,TIA1,ENSG00000116001.17,0.16719924018987986,6.418785499158595,11.000723556298437,9.750194908522922e-4,0.002047672868474638,Cluster2_vs_Cluster1,1,2
ENSG00000111796,KLRB1,ENSG00000111796.4,-0.4184637988810503,1.2591292684116213,11.000740677022671,9.755492403639806e-4,0.002048600605779674,Cluster2_vs_Cluster1,1,2
ENSG00000173575,CHD2,ENSG00000173575.22,-0.1623179030556326,6.473661307522707,10.997633459397541,9.766120533400923e-4,0.0020506474791879997,Cluster2_vs_Cluster1,1,2
ENSG00000182165,TP53TG1,ENSG00000182165.18,0.2541214245032617,2.4840116232819556,10.993138938360536,9.790771111033263e-4,0.0020556380904117456,Cluster2_vs_Cluster1,1,2
ENSG00000119866,BCL11A,ENSG00000119866.22,0.3747612092102465,5.634849139853675,10.991672970257012,9.796918823237017e-4,0.0020567433511133357,Cluster2_vs_Cluster1,1,2
ENSG00000102606,ARHGEF7,ENSG00000102606.18,-0.1808371495178769,5.8114735133588455,10.982166152521986,9.846237618595583e-4,0.0020669108364373776,Cluster2_vs_Cluster1,1,2
ENSG00000211734,TRBV5-1,ENSG00000211734.3,-0.45651637310314624,-0.7005104800389184,10.978657963894447,9.856643601728896e-4,0.0020689086921670606,Cluster2_vs_Cluster1,1,2
ENSG00000096060,FKBP5,ENSG00000096060.15,-0.31695762058158594,6.32490925677808,10.978337870840807,9.866164406050076e-4,0.0020707204054529913,Cluster2_vs_Cluster1,1,2
ENSG00000130813,SHFL,ENSG00000130813.18,-0.2079903598247704,3.703574906265449,10.972684394303865,9.896045148931757e-4,0.0020768045710550013,Cluster2_vs_Cluster1,1,2
ENSG00000099256,PRTFDC1,ENSG00000099256.19,0.28802726094281783,3.6696480305860355,10.971856621023521,9.90037480283255e-4,0.002077525918604126,Cluster2_vs_Cluster1,1,2
ENSG00000129235,TXNDC17,ENSG00000129235.11,0.266921550582586,5.94385829706298,10.969282898572125,9.913471976601758e-4,0.002080086774360423,Cluster2_vs_Cluster1,1,2
ENSG00000227097,RPS28P7,ENSG00000227097.5,0.49728044526982756,5.975452980227676,10.968454044886194,9.91781366476025e-4,0.0020808102209410474,Cluster2_vs_Cluster1,1,2
ENSG00000286861,AL049779.4,ENSG00000286861.1,-0.29609514038477935,-2.038747567016357,10.936692845332045,9.935430634992464e-4,0.0020843185111527854,Cluster2_vs_Cluster1,1,2
ENSG00000133101,CCNA1,ENSG00000133101.10,0.7122110269787207,3.64413265089018,10.961129235069912,9.956687033069703e-4,0.0020885896029001864,Cluster2_vs_Cluster1,1,2
ENSG00000164111,ANXA5,ENSG00000164111.15,-0.20304435283684688,8.036603490202824,10.960720365276725,9.958415513601742e-4,0.0020887639711383776,Cluster2_vs_Cluster1,1,2
ENSG00000251867,AC009812.1,ENSG00000251867.4,0.2726758202473431,-0.28420245764584595,10.951608451584061,0.001001304831832861,0.002100033917573784,Cluster2_vs_Cluster1,1,2
ENSG00000095319,NUP188,ENSG00000095319.14,0.17492067939220382,6.595403261047205,10.94966016581213,0.0010016777599762918,0.0021006268131022496,Cluster2_vs_Cluster1,1,2
ENSG00000196110,ZNF699,ENSG00000196110.8,-0.24143686088897387,2.7762481318658607,10.947839739138727,0.0010027456735404927,0.0021024905588693517,Cluster2_vs_Cluster1,1,2
ENSG00000253771,TPTE2P1,ENSG00000253771.6,0.3750395572262199,-0.34448803011087326,10.948672067531545,0.0010027471080380761,0.0021024905588693517,Cluster2_vs_Cluster1,1,2
ENSG00000257743,MGAM2,ENSG00000257743.8,-0.8473847067312249,0.2769527866991715,10.94795486347515,0.0010033236257287537,0.002103509906967344,Cluster2_vs_Cluster1,1,2
ENSG00000181617,FDCSP,ENSG00000181617.6,-1.2328998303996377,6.655462609066672,10.944267199933542,0.0010045363233385511,0.0021058627291599703,Cluster2_vs_Cluster1,1,2
ENSG00000267481,AC011477.1,ENSG00000267481.1,-0.25610484020321217,0.011692722253688956,10.943950943386376,0.0010055862580309238,0.0021078739498433196,Cluster2_vs_Cluster1,1,2
ENSG00000153113,CAST,ENSG00000153113.24,-0.1948805720862387,7.467032358589279,10.94142115051415,0.0010060478156582561,0.002108651584453426,Cluster2_vs_Cluster1,1,2
ENSG00000255833,TIFAB,ENSG00000255833.2,-0.467435943717898,0.04742706454300327,10.941918999086381,0.0010066046299793568,0.002109628716773445,Cluster2_vs_Cluster1,1,2
ENSG00000125944,HNRNPR,ENSG00000125944.21,0.11622830631935305,7.403196339394331,10.938465142572072,0.0010076204299716482,0.0021115675227059115,Cluster2_vs_Cluster1,1,2
ENSG00000089356,FXYD3,ENSG00000089356.18,0.4528443440785592,3.0253978359173157,10.938349598954362,0.001007760560253321,0.0021116710929520535,Cluster2_vs_Cluster1,1,2
ENSG00000239911,PRKAG2-AS1,ENSG00000239911.2,0.3860860281880539,1.1346571299869759,10.938676000549183,0.001008119646490695,0.0021122334056613607,Cluster2_vs_Cluster1,1,2
ENSG00000100445,SDR39U1,ENSG00000100445.17,0.22302237188603932,1.6349993648666792,10.936575412636302,0.0010090080352612362,0.0021139045231174927,Cluster2_vs_Cluster1,1,2
ENSG00000237441,RGL2,ENSG00000237441.10,-0.18554174172498475,6.01004070767525,10.934945936710688,0.0010094961470851567,0.002114736822113061,Cluster2_vs_Cluster1,1,2
ENSG00000215717,TMEM167B,ENSG00000215717.7,-0.1413466410441158,5.600415819727241,10.931527157901893,0.0010113219114677731,0.002118370892475235,Cluster2_vs_Cluster1,1,2
ENSG00000079385,CEACAM1,ENSG00000079385.23,-0.4325144462144139,4.612092077152055,10.924498630890662,0.0010150936334553289,0.002126080052797126,Cluster2_vs_Cluster1,1,2
ENSG00000106133,NSUN5P2,ENSG00000106133.18,0.3821107548176976,-1.5532775953766642,10.909496944963662,0.0010155444963849917,0.0021268330222960243,Cluster2_vs_Cluster1,1,2
ENSG00000164411,GJB7,ENSG00000164411.12,0.4418925727306762,1.76533738866679,10.923551119834382,0.00101593477965666,0.002127458997068188,Cluster2_vs_Cluster1,1,2
ENSG00000198225,FKBP1C,ENSG00000198225.5,0.20577711651100863,-0.17983624083475372,10.922773724307202,0.0010168096185334092,0.00212909947107913,Cluster2_vs_Cluster1,1,2
ENSG00000211792,TRAV14DV4,ENSG00000211792.2,-0.4650719945286129,-2.3615035871878733,10.877306645042149,0.001018296484405581,0.0021320210591745594,Cluster2_vs_Cluster1,1,2
ENSG00000269984,AC078795.1,ENSG00000269984.1,0.31431618818624474,-0.3552118179156279,10.919253789476814,0.0010184460750100087,0.0021321425023590828,Cluster2_vs_Cluster1,1,2
