source	target	weight	module1	module2
ATP1B4	MYF6	0.9539496540652181	black	black
HHATL	YIPF7	0.9539129764807531	black	black
CKM	NRAP	0.9538766117226287	black	black
CASQ2	LMOD3	0.9538739017685834	black	black
TRBC1	TRBC2	0.9538644142556589	blue	blue
MYH7	SMYD1	0.9538610959372226	black	black
MYOT	NPY6R	0.9538536839500344	black	black
KDM5D	USP9Y	0.9538340940314959	floralwhite	floralwhite
HSPB7	MYOZ2	0.9537797153573515	black	black
CACNG1	CASQ2	0.9537624108538293	black	black
CASQ2	CHRNA1	0.9537149061119449	black	black
CKM	SMPX	0.9537069976716015	black	black
ATP1B4	CACNG1	0.953693859119524	black	black
MYH1	MYL1	0.9536921396332732	black	black
CACNA1S	CACNG1	0.9536786874810768	black	black
CACNG1	MYL1	0.9536755422827676	black	black
LMOD2	MYLPF	0.9536396730472904	black	black
CD3E	TRBC1	0.9536382490028307	blue	blue
ACTA1	NMRK2	0.9536345088494611	black	black
ASB5	MYOT	0.9536307476557208	black	black
CHRND	KLHL40	0.9536240342499142	black	black
CD74	HLA-DPA1	0.95362215761972835	blue	blue
BEST3	HHATL	0.9536216170335131	black	black
MYF6	MYLPF	0.9535985210500866	black	black
CKM	DES	0.9535222856256224	black	black
SLN	TNNI1	0.9535120363141016	black	black
CD2	SIRPG	0.9535115029820894	blue	blue
CACNG6	HHATL	0.9535101380103551	black	black
GIMAP1	GIMAP7	0.9534834902845443	blue	blue
ACTN2	TRDN	0.9534764869737579	black	black
COX6A2	SMPX	0.9534546222543846	black	black
CD2	TRAC	0.9534532489914639	blue	blue
HHATL	MYOZ1	0.9534477401387051	black	black
CHRND	MYBPC2	0.953436344669894	black	black
ARPP21	DES	0.9534211949540489	black	black
NRAP	STYXL2	0.9533537491941354	black	black
DES	HSPB7	0.9533139426543613	black	black
LMOD3	SLN	0.953307863470736	black	black
NMRK2	SMPX	0.953280953322998	black	black
APOBEC2	NRAP	0.9532683251773485	black	black
MYH7	TNNC1	0.9532426238398344	black	black
MIR1-1HG	TCAP	0.953232107891302	black	black
CKM	MYOZ2	0.9532290974675326	black	black
ASB10	COX6A2	0.9531809588395007	black	black
SLN	STYXL2	0.9531115520972073	black	black
IL10RA	NCKAP1L	0.9530864663984573	blue	blue
ATP1B4	KLHL40	0.9530718059404667	black	black
HHATL	MYOZ2	0.9530502016827445	black	black
HJV	MYOT	0.953026635242324	black	black
IKZF1	SASH3	0.9530124329019517	blue	blue
ACTA1	CHRND	0.9529416257271162	black	black
RPS4Y1	ZFY	0.9528846940354309	floralwhite	floralwhite
CKM	KLHL40	0.9528558642483853	black	black
HRC	MYOZ2	0.9528198259100242	black	black
AC015922.2	MEIS3P1	0.9527677156637316	green	green
DES	MYLPF	0.9527410746029134	black	black
COX6A2	MYOZ2	0.9527163948275054	black	black
LMOD2	MYH7	0.9526975027392152	black	black
HJV	MYLPF	0.9526781481005241	black	black
LMOD3	TCAP	0.9526287370913518	black	black
ATP1B4	CHRND	0.9526249926070893	black	black
HHATL	SLN	0.9526233635186383	black	black
ACTN2	TTN	0.9525681801109834	black	black
HJV	MIR1-1HG	0.9525355865424034	black	black
ACTA1	COX6A2	0.9525194123418672	black	black
CSRP3	MYH1	0.9525040826807005	black	black
NCKAP1L	SASH3	0.9524944496574591	blue	blue
ACTN2	CASQ2	0.9524610794933243	black	black
ASB10	HHATL	0.9524555033181463	black	black
ARPP21	C10orf71	0.9524536209465718	black	black
MYL1	XIRP2	0.9524406029719626	black	black
IRF8	SASH3	0.95240642393141	blue	blue
HRC	HSPB7	0.9523836847328673	black	black
DUSP26	HHATL	0.9523761695370098	black	black
DUSP26	MYOM1	0.9523732559946698	black	black
ACTA1	HHATL	0.9523691847278949	black	black
C10orf71	DES	0.9523670136741567	black	black
ATP1A2	TNNI1	0.9523636150634456	black	black
MYBPH	SMPX	0.9523561267769519	black	black
CTNNA3	PPP1R3A	0.9523395081473762	black	black
MYH7	MYL1	0.9523338727773913	black	black
MYBPC1	MYBPC2	0.9523247384901352	black	black
CACNG6	HRC	0.9523237995327384	black	black
CSRP3	MYOG	0.9522690913038694	black	black
CAVIN4	CHRND	0.9521982908997797	black	black
KLHL40	MYBPC2	0.9521884582903585	black	black
CASQ1	PYGM	0.9521750585903221	black	black
ATP1B4	DES	0.9521430594077066	black	black
APOBEC2	COX6A2	0.9520962147780608	black	black
ARHGAP15	SASH3	0.9520936725660221	blue	blue
CAV3	LMOD2	0.9520751080102985	black	black
MYOG	SMYD1	0.9520670194100672	black	black
CD84	CYBB	0.9520387577122278	blue	blue
ACTN2	CACNG1	0.9520232857940488	black	black
