Gene,Mean,Variance,CV
ENSG00000101194.18,11.424214449921006,1.74417390792664,0.11560285126610745
ENSG00000101197.13,3.6449573746411805,2.389092507334971,0.4240567975246525
ENSG00000101198.15,2.8374157984737636,1.065059642950106,0.36371731957008663
ENSG00000101199.13,11.493073331710168,0.2983985013843249,0.04752937912051465
ENSG00000101200.5,2.499170007951351,0.8367587823752718,0.366019597659799
ENSG00000101203.16,2.5838003636377347,0.47233433331247293,0.26599030194720885
ENSG00000101204.18,6.502913211568148,11.919422920919441,0.5309084734422317
ENSG00000101210.13,8.811877389181774,16.421202304386014,0.45986888942096743
ENSG00000101213.7,6.950025583164201,4.219552336887683,0.29556076757571853
ENSG00000101216.11,9.658471351108448,0.1950848824616707,0.04573023279411983
ENSG00000101220.18,10.320757605228462,0.6136187601401927,0.07589929398983944
ENSG00000101222.12,3.6874953340843675,1.1181268414532557,0.2867570190767655
ENSG00000101224.17,11.0610819956618,0.9561372207605563,0.08840208347713885
ENSG00000101230.6,6.754228856799434,3.4859904668557404,0.2764313696608636
ENSG00000101236.17,8.22984803989641,0.8835625986492044,0.11421597347814139
ENSG00000101246.20,10.919219645364977,0.39733038705501567,0.05772770444694108
ENSG00000101247.18,8.964555966427845,0.28850631437706314,0.059916836933417594
ENSG00000101255.11,11.551408197702168,1.4587810176388076,0.10455868694679389
ENSG00000101265.16,8.099384368179598,1.20037777830958,0.13527170499082647
ENSG00000101266.19,11.344458230386481,0.21430383857966262,0.04080667551909008
ENSG00000101276.18,5.802064287109799,3.480159000474952,0.3215266729939708
ENSG00000101278.6,3.1982956486125063,0.5620784682159947,0.23441201455768043
ENSG00000101280.8,3.1725096335240472,1.1758342477434642,0.34179846121992596
ENSG00000101282.9,3.238303807505066,1.4727710319010994,0.374757235176479
ENSG00000101290.14,11.205713671151672,0.2932626791461055,0.04832689334242215
ENSG00000101294.18,13.172906928495248,0.4026556425593083,0.04817095665608878
ENSG00000101298.15,5.515268191456268,1.7326686607089106,0.23866631318021486
ENSG00000101306.11,3.525971068439781,0.8211296542931343,0.2569964497120531
ENSG00000101307.16,4.873881507516463,1.6215635710509493,0.26127149064936983
ENSG00000101310.17,11.157453423987885,0.2975764677286712,0.04889159545197949
ENSG00000101311.16,6.514513432465174,5.14908412021212,0.34832368767154137
ENSG00000101323.5,12.0522092639938,5.941892133781367,0.20225334733547376
ENSG00000101331.17,6.223637342631482,0.7359657817797013,0.1378429418699397
ENSG00000101333.17,5.260135409877196,1.5672196917272683,0.23799510006109342
ENSG00000101335.10,10.918696646302037,1.9030401990786112,0.12634358066858292
ENSG00000101336.17,8.127887781136614,1.5001917247302201,0.15069390389796075
ENSG00000101337.16,11.833728212063848,0.14485095095338393,0.03216170653632092
ENSG00000101342.10,5.364326034444603,1.777780311988814,0.24855578782883964
ENSG00000101343.15,10.29458595272143,0.19741008856731704,0.043159438672481794
ENSG00000101346.14,11.758436357487328,0.36461369409245276,0.051353129501249116
ENSG00000101347.10,11.125434877813975,0.7820583952055682,0.07948818768393671
ENSG00000101349.17,2.5629436129907575,1.6839935194946856,0.5063270812054826
ENSG00000101350.8,11.424469515767402,0.28665472906555456,0.04686444868008123
ENSG00000101353.15,5.908150141589491,0.7941649189560565,0.15083558989094828
ENSG00000101361.17,11.43987859228278,0.5165479910149685,0.06282520623939276
ENSG00000101363.12,10.814305710688716,0.31256208299243576,0.05169749545560411
ENSG00000101365.21,11.693462210305961,0.28850989284257156,0.04593431435976195
ENSG00000101367.9,10.938282369281138,0.45282634968091606,0.06152005495211735
ENSG00000101384.12,10.124400529212773,1.5665836879524786,0.1236253352152094
ENSG00000101391.21,10.009247365184462,0.18328334061924634,0.04277205076227087
ENSG00000101400.6,10.199467546127469,0.7712181829860114,0.08610158173701829
ENSG00000101405.3,3.859736211569878,4.130230352490943,0.526537749116965
ENSG00000101407.13,10.018313558275196,0.1912185270793236,0.04364860456271336
ENSG00000101412.13,9.350943044819472,2.1078351577468917,0.1552611899150512
ENSG00000101413.12,10.789821753808715,0.4122120487201903,0.05950398761726213
ENSG00000101417.12,10.1817343363906,0.5596210584540299,0.07347257538076866
ENSG00000101421.4,12.100699109317631,0.2984671260468484,0.04514792446611666
ENSG00000101425.14,3.525663884127179,1.3452833327885572,0.32897733181619176
ENSG00000101439.9,13.605490482746177,0.9181875653694767,0.0704289965315805
ENSG00000101440.9,4.0813040179554445,1.0950734049444861,0.25640274428721455
ENSG00000101441.4,2.5412424609512296,1.5799097676478804,0.49461813868488486
ENSG00000101442.10,8.5332586764532,0.41212724663856226,0.07523167872785252
ENSG00000101443.18,5.381885984547403,7.169178733633976,0.497508162997692
ENSG00000101444.13,13.186241041269334,0.5967693083579971,0.05858443278472397
ENSG00000101445.10,7.376478591927764,1.3548364488042948,0.15779540397258765
ENSG00000101446.8,2.209798616827505,0.4692248736990175,0.3099829561812809
ENSG00000101447.15,8.748737170153467,1.3652580287314628,0.13355556838830832
ENSG00000101452.15,8.759874071701113,0.24428043238689226,0.05642174022549287
ENSG00000101457.13,9.81500760082824,0.2521708660080536,0.051163095753199585
