Project,Gene,P_Value,N_Patients,Significant
TCGA-DLBC,HSPB1,0.5215748967776075,47,FALSE
TCGA-DLBC,GRPEL1,0.3109512210029055,47,FALSE
TCGA-DLBC,CRYAB,0.46966011142597064,47,FALSE
TCGA-DLBC,HSPA9,0.398204600867737,47,FALSE
TCGA-DLBC,HSPE1,0.9926682329347465,47,FALSE
TCGA-DLBC,DNAJC15,0.42478934322686557,47,FALSE
TCGA-DLBC,TRAP1,0.25623709589013055,47,FALSE
TCGA-DLBC,DNAJB2,0.9306109928439015,47,FALSE
TCGA-DLBC,HSPD1,0.9123916778596796,47,FALSE
TCGA-DLBC,CCT6A,0.38534304815598486,47,FALSE
TCGA-DLBC,HSPB8,0.9090460915548344,47,FALSE
TCGA-DLBC,GRPEL2,0.5357375950338201,47,FALSE
TCGA-DLBC,CLPX,0.06848198861643684,47,FALSE
TCGA-DLBC,HSPB7,0.8919240281457124,47,FALSE
TCGA-DLBC,SDHAF1,0.6999677533473221,47,FALSE
TCGA-DLBC,DNAJC19,0.31279296877035234,47,FALSE
TCGA-DLBC,DNLZ,0.7416369466444421,47,FALSE
TCGA-ESCA,HSP90AA1,0.9811211466916422,183,FALSE
TCGA-ESCA,HSP90AB1,0.7299014161796071,183,FALSE
TCGA-ESCA,HSCB,0.9084313274640747,183,FALSE
TCGA-ESCA,DNAJA3,0.43927063356950513,183,FALSE
TCGA-ESCA,DNAJB6,0.1292645587170851,183,FALSE
TCGA-ESCA,HSPB1,0.6997356392636969,183,FALSE
TCGA-ESCA,GRPEL1,0.17205983841164352,183,FALSE
TCGA-ESCA,CRYAB,0.9370449595208344,183,FALSE
TCGA-ESCA,HSPA9,0.7225597735773786,183,FALSE
TCGA-ESCA,HSPE1,0.09218986835485343,183,FALSE
TCGA-ESCA,DNAJC15,0.6130085188953751,183,FALSE
TCGA-ESCA,TRAP1,9.796650600087942e-4,183,TRUE
TCGA-ESCA,DNAJB2,0.6572973391666028,183,FALSE
TCGA-ESCA,HSPD1,0.6540488549768582,183,FALSE
TCGA-ESCA,CCT6A,0.3155989481494521,183,FALSE
TCGA-ESCA,HSPB8,0.6114544909237403,183,FALSE
TCGA-ESCA,GRPEL2,0.0018940963438477398,183,TRUE
TCGA-ESCA,CLPX,0.2881340675057439,183,FALSE
TCGA-ESCA,HSPB7,0.7670970878330576,183,FALSE
TCGA-ESCA,SDHAF1,0.8771427449575331,183,FALSE
TCGA-ESCA,DNAJC19,0.5683461661278761,183,FALSE
TCGA-ESCA,DNLZ,0.2863707691329359,183,FALSE
TCGA-GBM,HSP90AA1,0.2103599592162928,252,FALSE
TCGA-GBM,HSP90AB1,0.7750167975853945,252,FALSE
TCGA-GBM,HSCB,0.32913146552604755,252,FALSE
TCGA-GBM,DNAJA3,0.6109062400256358,252,FALSE
TCGA-GBM,DNAJB6,0.17553612059712898,252,FALSE
TCGA-GBM,HSPB1,0.03395787266388339,252,TRUE
TCGA-GBM,GRPEL1,0.5628105859546542,252,FALSE
TCGA-GBM,CRYAB,0.8198861936804182,252,FALSE
TCGA-GBM,HSPA9,0.46915167850456685,252,FALSE
TCGA-GBM,HSPE1,0.2749769198953309,252,FALSE
TCGA-GBM,DNAJC15,0.006897030856015451,252,TRUE
TCGA-GBM,TRAP1,0.6034305749672058,252,FALSE
TCGA-GBM,DNAJB2,0.6433060324582965,252,FALSE
TCGA-GBM,HSPD1,0.037336852494091355,252,TRUE
TCGA-GBM,CCT6A,0.03147417514620743,252,TRUE
TCGA-GBM,HSPB8,0.9782395942762994,252,FALSE
TCGA-GBM,GRPEL2,0.7220910350857763,252,FALSE
TCGA-GBM,CLPX,0.002239690970175401,252,TRUE
TCGA-GBM,HSPB7,0.12268359764802261,252,FALSE
TCGA-GBM,SDHAF1,0.18164598443738023,252,FALSE
TCGA-GBM,DNAJC19,0.46715191750112073,252,FALSE
TCGA-GBM,DNLZ,0.11653349371643407,252,FALSE
TCGA-HNSC,HSP90AA1,0.28685105587127147,520,FALSE
TCGA-HNSC,HSP90AB1,0.48407952286466294,520,FALSE
TCGA-HNSC,HSCB,0.009486596220316668,520,TRUE
TCGA-HNSC,DNAJA3,0.7561302631879471,520,FALSE
TCGA-HNSC,DNAJB6,0.9467786687602725,520,FALSE
TCGA-HNSC,HSPB1,0.1061378278138666,520,FALSE
TCGA-HNSC,GRPEL1,0.42088921048080763,520,FALSE
TCGA-HNSC,CRYAB,0.14576796060137165,520,FALSE
TCGA-HNSC,HSPA9,0.8793884395741638,520,FALSE
TCGA-HNSC,HSPE1,0.3193154417659009,520,FALSE
TCGA-HNSC,DNAJC15,0.016442712399594606,520,TRUE
TCGA-HNSC,TRAP1,0.6751117599341663,520,FALSE
TCGA-HNSC,DNAJB2,0.41897322677560744,520,FALSE
TCGA-HNSC,HSPD1,0.6095096214392064,520,FALSE
TCGA-HNSC,CCT6A,0.7291273505334048,520,FALSE
TCGA-HNSC,HSPB8,0.5696850021743958,520,FALSE
TCGA-HNSC,GRPEL2,0.16457655809019034,520,FALSE
TCGA-HNSC,CLPX,0.6141018454906116,520,FALSE
TCGA-HNSC,HSPB7,0.012500537068501516,520,TRUE
TCGA-HNSC,SDHAF1,0.203515320706818,520,FALSE
TCGA-HNSC,DNAJC19,0.3910655799433025,520,FALSE
TCGA-HNSC,DNLZ,0.6629174338559478,520,FALSE
TCGA-KICH,HSP90AA1,0.3396203101616019,65,FALSE
TCGA-KICH,HSP90AB1,0.05833409055179328,65,FALSE
TCGA-KICH,HSCB,0.6724194593226476,65,FALSE
TCGA-KICH,DNAJA3,0.891398948950402,65,FALSE
TCGA-KICH,DNAJB6,0.20312461916686386,65,FALSE
TCGA-KICH,HSPB1,0.04120024148591184,65,TRUE
TCGA-KICH,GRPEL1,0.06604417575801946,65,FALSE
TCGA-KICH,CRYAB,0.08352556920152177,65,FALSE
TCGA-KICH,HSPA9,0.15879488058147972,65,FALSE
TCGA-KICH,HSPE1,0.17681416832705887,65,FALSE
TCGA-KICH,DNAJC15,0.9796149011615274,65,FALSE
