gene_id,module
AC006504.7,royalblue
AC006511.3,greenyellow
AC006525.1,darkturquoise
AC006538.1,grey
AC006538.4,grey
AC006557.1,grey
AC006557.5,grey
AC006557.6,grey
AC006566.1,turquoise
AC006946.2,darkorange
AC006946.3,darkorange
AC006960.3,blue
AC006963.1,cyan
AC006971.1,black
AC006974.2,turquoise
AC006978.1,lightcyan
AC006994.1,turquoise
AC007000.1,black
AC007014.2,yellow
AC007036.1,blue
AC007038.1,brown
AC007040.2,ivory
AC007040.3,turquoise
AC007066.2,brown
AC007066.3,darkred
AC007098.1,red
AC007106.1,grey
AC007114.1,magenta
AC007128.1,darkturquoise
AC007128.2,darkturquoise
AC007182.1,saddlebrown
AC007182.2,greenyellow
AC007191.1,yellow
AC007216.2,grey
AC007216.3,grey
AC007216.4,yellow
AC007220.1,blue
AC007224.2,lightyellow
AC007240.1,lightgreen
AC007240.3,magenta
AC007250.1,darkred
AC007255.1,turquoise
AC007262.2,grey
AC007278.1,blue
AC007279.1,grey
AC007292.1,black
AC007318.1,grey
AC007319.1,grey
AC007336.1,grey
AC007336.2,blue
AC007342.3,grey
AC007342.4,turquoise
AC007342.5,turquoise
AC007342.7,red
AC007342.8,black
AC007342.9,turquoise
AC007362.1,yellow
AC007365.1,salmon
AC007383.1,turquoise
AC007384.1,blue
AC007387.2,plum2
AC007389.2,grey
AC007389.3,grey
AC007391.2,lightyellow
AC007405.1,turquoise
AC007405.2,turquoise
AC007405.3,turquoise
AC007405.4,brown
AC007406.3,green
AC007406.4,grey
AC007448.4,darkred
AC007448.5,grey
AC007485.1,turquoise
AC007497.1,grey
AC007529.2,grey
AC007541.1,darkgreen
AC007546.3,brown
AC007552.2,grey
AC007566.1,brown
AC007569.1,tan
AC007608.3,red
AC007611.1,paleturquoise
AC007613.1,grey
AC007614.1,grey
AC007637.1,red
AC007639.1,grey
AC007663.1,skyblue
AC007663.2,turquoise
AC007681.1,turquoise
AC007683.1,greenyellow
AC007684.2,red
AC007686.1,grey
AC007686.3,brown
AC007686.4,grey
AC007687.1,grey
AC007688.2,greenyellow
AC007695.1,yellow
AC007728.2,blue
AC007728.3,turquoise
AC007731.1,yellow
AC007743.1,lightcyan
