gene_id,module
AC005833.1,salmon
AC005833.2,turquoise
AC005837.1,lightyellow
AC005839.1,darkolivegreen
AC005840.1,darkturquoise
AC005840.2,blue
AC005840.4,grey
AC005845.1,grey
AC005856.1,black
AC005863.1,darkred
AC005865.1,yellow
AC005865.2,yellow
AC005899.6,brown
AC005899.7,brown
AC005906.2,salmon
AC005906.3,grey
AC005911.1,lightyellow
AC005912.1,darkgrey
AC005914.1,orangered4
AC005920.1,yellow
AC005962.1,brown
AC005962.2,purple
AC005972.3,yellow
AC005993.1,grey
AC005996.1,royalblue
AC006001.2,grey
AC006008.1,black
AC006017.1,black
AC006026.3,yellow
AC006033.1,grey
AC006033.2,turquoise
AC006040.1,bisque4
AC006042.1,darkred
AC006042.2,black
AC006042.3,grey
AC006058.1,brown
AC006058.3,midnightblue
AC006058.4,grey
AC006059.1,black
AC006059.5,saddlebrown
AC006062.1,blue
AC006064.3,grey
AC006077.2,brown
AC006111.2,brown
AC006115.2,royalblue
AC006116.4,darkgreen
AC006116.9,darkgreen
AC006128.1,brown
AC006130.3,darkgreen
AC006148.1,royalblue
AC006157.1,bisque4
AC006197.2,grey
AC006206.2,magenta
AC006207.1,grey
AC006213.2,darkgrey
AC006213.3,darkgreen
AC006213.4,brown
AC006213.5,brown
AC006213.6,brown
AC006213.7,brown
AC006230.1,midnightblue
AC006237.1,grey
AC006238.1,greenyellow
AC006238.2,green
AC006252.1,lightyellow
AC006254.1,brown
AC006262.1,grey
AC006262.2,skyblue
AC006262.3,yellow
AC006262.4,yellow
AC006270.1,ivory
AC006272.1,turquoise
AC006273.1,darkred
AC006277.1,brown
AC006299.1,green
AC006330.1,brown
AC006357.1,grey
AC006369.1,turquoise
AC006372.1,salmon
AC006372.2,salmon
AC006372.3,cyan
AC006378.1,black
AC006435.2,brown
AC006449.2,green
AC006449.3,green
AC006449.5,lightyellow
AC006449.6,brown
AC006450.3,cyan
AC006452.1,brown
AC006460.1,pink
AC006460.2,pink
AC006480.2,brown
AC006483.1,darkturquoise
AC006486.2,darkorange2
AC006504.1,grey
AC006504.3,grey
AC006504.5,yellowgreen
AC006504.7,grey
AC006511.3,darkturquoise
AC006517.2,grey
AC006525.1,magenta
AC006538.1,salmon
AC006538.4,darkred
AC006539.2,darkgreen
AC006547.1,brown
AC006557.1,brown
AC006557.5,green
AC006557.6,grey
AC006566.1,grey
AC006581.2,cyan
AC006946.2,salmon
AC006946.3,darkslateblue
AC006963.1,blue
AC006970.1,darkgreen
AC006971.1,greenyellow
AC006974.2,grey
AC006978.1,grey
AC006994.1,grey
AC007000.1,violet
AC007014.2,grey
AC007040.2,salmon
AC007066.2,brown
AC007066.3,lightyellow
AC007092.1,lightcyan
AC007098.1,black
AC007106.1,grey
AC007114.1,floralwhite
AC007114.2,black
AC007128.1,magenta
AC007128.2,magenta
AC007130.1,yellow
AC007159.1,plum1
AC007182.1,pink
AC007182.2,darkturquoise
AC007191.1,darkolivegreen
AC007204.1,darkgreen
AC007216.2,magenta
AC007216.3,black
AC007216.4,black
AC007220.1,grey
AC007224.2,brown
AC007225.1,green
AC007240.1,violet
AC007240.3,green
AC007255.1,yellow
AC007262.2,grey
AC007277.1,mediumpurple3
AC007278.1,turquoise
AC007279.1,brown
AC007292.1,greenyellow
AC007319.1,grey
AC007333.1,thistle2
AC007336.1,tan
AC007342.3,paleturquoise
AC007342.4,tan
AC007342.5,tan
AC007342.7,orange
AC007342.8,grey
AC007342.9,tan
AC007347.1,grey
AC007365.1,grey60
AC007368.1,royalblue
AC007383.1,brown
AC007384.1,turquoise
AC007387.2,pink
AC007389.3,grey
AC007390.1,black
AC007391.2,red
AC007405.1,mediumpurple3
AC007405.2,cyan
AC007405.3,palevioletred3
AC007406.3,blue
AC007406.4,brown
AC007448.4,lightyellow
AC007448.5,royalblue
AC007485.1,purple
AC007485.2,green
AC007497.1,grey
AC007528.1,grey
AC007529.2,grey
AC007541.1,midnightblue
AC007552.2,grey
AC007566.1,brown
AC007569.1,turquoise
AC007608.1,mediumpurple3
AC007608.3,sienna3
AC007608.4,mediumpurple3
AC007610.4,black
AC007611.1,pink
AC007614.1,grey
AC007622.2,black
AC007637.1,orange
AC007639.1,pink
AC007656.1,green
AC007663.1,brown
AC007663.2,salmon
