chaperone_ensembl,chaperone_gene_name,chaperone_uniprot,interactor_ensembl,interactor_gene_name,interactor_uniprot
ENSG00000146731,CCT6A,P40227,ENSG00000278372,MYO19,Q96H55
ENSG00000146731,CCT6A,P40227,ENSG00000069956,MAPK6,Q16659
ENSG00000146731,CCT6A,P40227,ENSG00000011143,MKS1,Q9NXB0
ENSG00000146731,CCT6A,P40227,ENSG00000119414,PPP6C,O00743
ENSG00000146731,CCT6A,P40227,ENSG00000175470,PPP2R2D,Q66LE6
ENSG00000146731,CCT6A,P40227,ENSG00000115091,ACTR3,P61158
ENSG00000146731,CCT6A,P40227,ENSG00000156711,MAPK13,O15264
ENSG00000146731,CCT6A,P40227,ENSG00000068745,IP6K2,Q9UHH9
ENSG00000146731,CCT6A,P40227,ENSG00000135114,OASL,Q15646
ENSG00000146731,CCT6A,P40227,ENSG00000179456,ZBTB18,Q99592
ENSG00000146731,CCT6A,P40227,ENSG00000182923,CEP63,Q96MT8
ENSG00000146731,CCT6A,P40227,ENSG00000115540,MOB4,Q9Y3A3
ENSG00000146731,CCT6A,P40227,ENSG00000127663,KDM4B,O94953
ENSG00000146731,CCT6A,P40227,ENSG00000101460,MAP1LC3A,Q9H492
ENSG00000146731,CCT6A,P40227,ENSG00000154237,LRRK1,Q38SD2
ENSG00000146731,CCT6A,P40227,ENSG00000095015,MAP3K1,Q13233
ENSG00000146731,CCT6A,P40227,ENSG00000198909,MAP3K3,Q99759
ENSG00000146731,CCT6A,P40227,ENSG00000034713,GABARAPL2,P60520
ENSG00000146731,CCT6A,P40227,ENSG00000167333,TRIM68,Q6AZZ1
ENSG00000146731,CCT6A,P40227,ENSG00000008128,CDK11A,Q9UQ88
ENSG00000146731,CCT6A,P40227,ENSG00000178462,TUBAL3,A6NHL2
ENSG00000146731,CCT6A,P40227,ENSG00000103066,PLA2G15,Q8NCC3
ENSG00000146731,CCT6A,P40227,ENSG00000140395,SKIC8,Q9GZS3
ENSG00000146731,CCT6A,P40227,ENSG00000143207,COP1,Q8NHY2
ENSG00000146731,CCT6A,P40227,ENSG00000167553,TUBA1C,Q9BQE3
ENSG00000146731,CCT6A,P40227,ENSG00000101391,CDK5RAP1,Q96SZ6
