gene_id,module
AC007448.4,red
AC007448.5,grey
AC007461.1,turquoise
AC007485.1,blue
AC007485.2,paleturquoise
AC007491.1,grey
AC007493.1,grey
AC007494.1,pink
AC007496.3,grey
AC007497.1,grey
AC007529.2,grey
AC007541.1,grey
AC007546.3,yellow
AC007552.2,grey
AC007563.1,grey
AC007563.2,grey
AC007566.1,yellow
AC007569.1,grey60
AC007608.1,greenyellow
AC007608.3,grey
AC007610.4,pink
AC007611.1,grey
AC007613.1,cyan
AC007614.1,grey
AC007619.1,pink
AC007622.2,pink
AC007637.1,tan
AC007639.1,blue
AC007663.1,grey
AC007663.2,brown
AC007663.3,cyan
AC007663.4,pink
AC007666.2,grey
AC007671.1,magenta
AC007673.1,pink
AC007681.1,grey
AC007683.1,thistle1
AC007684.1,pink
AC007684.2,grey
AC007686.1,salmon
AC007686.3,yellow
AC007686.4,grey
AC007687.1,yellow
AC007688.1,grey
AC007688.2,darkorange2
AC007695.1,pink
AC007728.2,brown
AC007728.3,grey
AC007731.1,pink
AC007731.2,grey
AC007731.5,grey
AC007743.1,grey
AC007749.2,grey
AC007750.1,greenyellow
AC007773.1,cyan
AC007780.1,blue
AC007785.1,turquoise
AC007785.3,yellow
AC007786.1,cyan
AC007786.2,grey
AC007786.4,grey
AC007787.2,grey
AC007823.1,palevioletred3
AC007842.1,thistle2
AC007846.1,grey
AC007848.1,midnightblue
AC007877.1,brown
AC007878.1,pink
AC007879.3,turquoise
AC007881.3,cyan
AC007881.4,pink
AC007906.1,grey
AC007906.2,turquoise
AC007907.1,darkolivegreen
AC007919.1,grey
AC007920.2,magenta
AC007923.1,grey
AC007923.3,grey
AC007938.1,grey
AC007938.3,yellow
AC007952.2,grey
AC007952.4,grey
AC007953.1,grey
AC007991.2,brown
AC007991.4,brown
AC007993.3,brown
AC007996.1,grey
AC007998.3,magenta
AC007998.4,grey
AC008011.2,grey
AC008013.1,yellow
AC008014.1,blue
AC008026.1,salmon
AC008033.3,brown
AC008035.1,blue
AC008038.1,salmon
AC008040.1,grey
AC008050.1,magenta
AC008055.2,turquoise
AC008060.1,grey
AC008069.1,grey
AC008074.2,grey
AC008079.1,yellow
AC008083.2,turquoise
AC008083.3,brown
AC008105.1,black
AC008105.2,red
AC008105.3,brown
AC008114.1,grey
AC008115.3,pink
AC008115.4,grey
AC008119.1,pink
AC008124.1,green
AC008132.1,grey
AC008147.2,pink
AC008163.1,grey
AC008180.3,grey
AC008267.3,yellow
AC008268.1,blue
AC008269.1,green
AC008280.2,green
AC008393.1,green
AC008403.3,grey
AC008406.3,grey
AC008429.1,grey
AC008429.2,salmon
AC008438.1,cyan
AC008443.2,midnightblue
AC008443.3,yellow
AC008443.4,yellow
AC008443.5,purple
AC008443.7,grey
AC008453.2,grey
AC008459.1,magenta
AC008464.1,grey
AC008467.1,yellow
AC008481.1,salmon
AC008481.2,grey
AC008494.2,grey
AC008496.2,grey
AC008496.3,grey
AC008498.1,tan
AC008507.1,yellow
AC008507.2,pink
AC008507.4,grey
AC008514.1,blue
AC008514.2,grey
AC008532.1,turquoise
AC008537.2,grey
AC008537.3,steelblue
AC008537.4,yellow
AC008543.1,darkseagreen4
AC008543.3,pink
AC008543.4,yellow
AC008554.1,midnightblue
AC008555.1,tan
AC008555.2,pink
AC008555.3,blue
AC008555.4,blue
AC008555.6,blue
AC008556.1,grey
AC008567.3,grey
AC008571.2,lightgreen
AC008591.1,grey
AC008592.1,grey
AC008592.4,turquoise
AC008608.2,cyan
AC008610.1,yellow
AC008619.1,turquoise
AC008622.2,turquoise
AC008629.1,green
AC008632.1,grey
AC008655.2,grey
AC008663.1,green
AC008663.2,green
AC008663.3,green
AC008667.1,grey
AC008674.1,blue
