project_id,TCGA-ACC,TCGA-BLCA,TCGA-BRCA,TCGA-CESC,TCGA-CHOL,TCGA-COAD,TCGA-DLBC,TCGA-ESCA,TCGA-GBM,TCGA-HNSC,TCGA-KICH,TCGA-KIRC,TCGA-KIRP,TCGA-LGG,TCGA-LIHC,TCGA-LUAD,TCGA-LUSC,TCGA-MESO,TCGA-OV,TCGA-PAAD,TCGA-PCPG,TCGA-PRAD,TCGA-READ,TCGA-SARC,TCGA-SKCM,TCGA-STAD,TCGA-TGCT,TCGA-THCA,TCGA-THYM,TCGA-UCEC,TCGA-UCS,TCGA-UVM
TCGA-KICH,1.7368966741369567,2.5405058822809123,2.7314368343122624,2.3538718549744995,2.22551706983544,1.5676877361950936,1.1929292759520456,1.708764830112882,1.6334058518011094,2.14404324871726,5.860827432676723,2.7399313400422436,2.5362764980521493,2.2551251416729166,2.7020914095341286,2.472865183151666,2.4195954213157322,2.396776224754872,2.535365886458471,2.1593647229765676,2.11845912093363,1.6247692040250428,1.9287208465869443,2.1483570007966715,2.1952862994082807,1.5261573988221198,0.9091763051764818,2.2220522399825997,0.9304814517209543,2.7409730006190824,2.5708275421352957,0.8051703786239752
TCGA-KIRC,1.8083451722808146,3.0855819835884373,3.1895752157933575,2.8236860241603465,2.396045198401127,2.0183447311088485,1.9560051068594482,1.959326502490188,2.275051838743082,2.762520171786481,2.7399313400422436,5.860827432676723,3.6040342237371132,3.0290937245445053,3.030121138260705,3.076923196322796,2.7838997198222164,3.1110541535066196,3.029465389255507,2.6459839815430026,2.6755222701692096,2.2324592143248685,2.1577795026271005,2.50203400245518,2.9121127998085607,2.030674416450726,1.6209190549298187,2.7770013153222175,1.6204493355470593,3.4626235758798294,2.6704885184047007,1.261060938372669
TCGA-KIRP,1.7728405141312242,2.823603574693434,2.946487149261876,2.6000696059001873,1.988313500618677,1.470691252013606,2.1525821411092516,1.5215689851146115,1.7162547572430764,2.608147096938849,2.5362764980521493,3.6040342237371132,5.860827432676723,2.742073967595517,3.0275163746427127,2.4177689292755438,2.3679627216437327,2.883518318146629,2.6344516055746268,2.3493845229168837,2.7646236361576815,2.1554208026670616,1.7517222049725056,2.3135848634733125,2.4122009739360104,1.5459625789203262,1.3192642415426015,3.1579288440876994,1.8513791423566444,3.208314856232226,2.562850101471478,1.1039183963789245
TCGA-LGG,2.078538101608273,3.033415406289755,3.095867678130236,2.8867076741747164,2.0180576744814136,1.676946424129043,2.10597152578624,1.8097011730733632,2.483133203938979,2.5494788024697557,2.2551251416729166,3.0290937245445053,2.742073967595517,5.860827432676723,2.7739952001608086,2.7652112160126827,2.676318442954224,2.634718787119823,3.0387861107093035,2.357344708985001,2.6408978764058815,2.2465674778892044,2.009352675188607,2.2152653353768224,2.37768999743493,1.9706288448574956,1.2613805060792869,2.5168959208422113,1.5324678292848661,3.1893536922890227,2.7699588360479135,0.8451848105282576
TCGA-LIHC,2.2749967288776434,3.511981743983775,3.2871841923004004,3.333714490513032,2.5253082571199585,2.035855598022817,1.842327967597079,2.410586030785312,2.4514608760986647,3.226957327925935,2.7020914095341286,3.030121138260705,3.0275163746427127,2.7739952001608086,5.860827432676723,3.028783430256141,3.017797572295547,3.0275664212776845,3.203874138012107,2.9768830376106883,2.928049580151834,2.469510726048282,2.3081887135282373,2.735969499645853,2.3774239144045084,2.2104267348880358,1.3841517669846644,2.517338923136979,1.541347351114963,3.3267273624593003,3.1726206811563666,0.824657789553255
TCGA-LUAD,2.33686206678275,3.7207600111578434,3.919803973046595,3.2831006481675002,2.59881151690274,3.290751832216566,1.445003800466683,3.033357981094455,2.778878168263303,3.1158767749567238,2.472865183151666,3.076923196322796,2.4177689292755438,2.7652112160126827,3.028783430256141,5.860827432676723,3.9461447103015614,2.721712503957582,3.6939195173416852,3.405768306095383,2.4834108189265254,2.318575287377233,3.0620787949065633,2.7927619602740537,2.9614312165861025,3.0783548389087723,1.5261312730158778,1.9504846878397908,1.0531767079719945,3.6414667886654795,2.8602541442158427,1.294027198215737
TCGA-LUSC,2.3798753992654267,3.707706570538598,3.4595554981339918,3.682690945659798,2.506028615545796,2.8281741093844044,1.2558950457495328,3.5360535746951705,2.7888776278270737,3.51435940016205,2.4195954213157322,2.7838997198222164,2.3679627216437327,2.676318442954224,3.017797572295547,3.9461447103015614,5.860827432676723,2.794147420037695,4.138459718054752,3.0789813736552034,2.478785843835666,2.12939296028273,2.93820928916805,2.9549054096133935,2.709656236781035,3.0011841323536794,1.1488630034165812,1.7448262154203036,0.9714582479901788,3.354318019386358,3.01508289936362,1.0209008195794995
TCGA-MESO,2.036603963153748,3.305005916344562,3.1309423197481685,3.084912156237677,2.2138998542287345,1.7815450280300578,2.2539528768104913,1.9937121992544982,1.995561179234199,3.0942917237102128,2.396776224754872,3.1110541535066196,2.883518318146629,2.634718787119823,3.0275664212776845,2.721712503957582,2.794147420037695,5.860827432676723,3.101779979361806,2.6564148162681294,2.946173501861135,2.336660764649933,2.059979611113726,2.823393227737855,2.534835407892243,2.089944134771167,1.777282756446529,2.6563740014518964,1.916564026370752,3.259273371216923,2.9082259688613585,0.8595495011980905
TCGA-OV,2.4767212080636414,3.8207694794631277,3.5609046924172243,3.627944505440256,2.5314965778737393,2.7252888384833955,1.5957877036341186,2.8971143603244665,2.9748571499451977,3.321258186444368,2.535365886458471,3.029465389255507,2.6344516055746268,3.0387861107093035,3.203874138012107,3.6939195173416852,4.138459718054752,3.101779979361806,5.860827432676723,2.9711874508374736,2.619213492069584,2.2558331401164433,2.9318137554829877,2.941723351850282,2.883865036989983,2.7618056003279383,1.4311864688858975,2.2148539604353394,1.2788699475329857,3.625812947038963,3.3729079097816133,1.2073331284860656
TCGA-PAAD,1.8817862869353918,3.450064498174696,3.4302200098688815,3.022055127504855,2.339868480792411,2.4972485663607427,1.7519783107591165,2.7015857915820445,2.0809913811506306,3.1537902998239344,2.1593647229765676,2.6459839815430026,2.3493845229168837,2.357344708985001,2.9768830376106883,3.405768306095383,3.0789813736552034,2.6564148162681294,2.9711874508374736,5.860827432676723,2.627844435728043,2.7231715485019254,2.5247560390884463,2.685740834523684,2.3019483478168783,2.9206430817840037,1.572004681781114,2.1040494085629615,1.191438150903811,3.2267588135999796,2.7213648863146154,0.8569627343032771
