gene1,gene2,mean_correlation,n_projects
HSPE1,CCT6A,-0.0267214400457895,32
HSPE1,CLPX,-0.3676098283356572,32
HSPE1,CRYAB,-0.0838283318023314,32
HSPE1,DNAJA3,-0.2230023593374663,32
HSPE1,DNAJB2,0.08849564693538367,32
HSPE1,DNAJB6,-0.17804704383505895,32
HSPE1,DNAJC15,0.0582467169092338,32
HSPE1,DNAJC19,0.2040899299721122,32
HSPE1,DNLZ,0.10891469316633329,32
HSPE1,GRPEL1,0.10995924304314512,32
HSPE1,GRPEL2,-0.127669730497338,32
HSPE1,HSCB,0.2726949972944559,32
HSPE1,HSP90AA1,-0.050871374401874454,32
HSPE1,HSP90AB1,-0.1646952194926791,32
HSPE1,HSPA9,-0.17717976378740125,32
HSPE1,HSPB1,0.22986398244007716,32
HSPE1,HSPB7,-0.23035987116930254,32
HSPE1,HSPB8,-0.1781354172722024,32
HSPE1,HSPD1,0.2867500956327506,32
HSPE1,SDHAF1,0.20840534708185227,32
HSPE1,TRAP1,-0.27065061495234016,32
SDHAF1,CCT6A,-0.16721268004670253,32
SDHAF1,CLPX,-0.23462354228839644,32
SDHAF1,CRYAB,0.03861240094975191,32
SDHAF1,DNAJA3,-0.10027386177401217,32
SDHAF1,DNAJB2,0.3817277383010457,32
SDHAF1,DNAJB6,-0.09494535212667693,32
SDHAF1,DNAJC15,0.058457205696368586,32
SDHAF1,DNAJC19,0.18281974629950978,32
SDHAF1,DNLZ,0.22210398222512523,32
SDHAF1,GRPEL1,0.0852816570799105,32
SDHAF1,GRPEL2,-0.16063036748427778,32
SDHAF1,HSCB,0.3624651568470629,32
SDHAF1,HSP90AA1,-0.29325955714202445,32
SDHAF1,HSP90AB1,-0.13577410563927658,32
SDHAF1,HSPA9,-0.31191788387173375,32
SDHAF1,HSPB1,0.2351016129312267,32
SDHAF1,HSPB7,0.001297080188868012,32
SDHAF1,HSPB8,-0.07505160267400957,32
SDHAF1,HSPD1,-0.30686030498104366,32
SDHAF1,HSPE1,0.20840534708185227,32
SDHAF1,TRAP1,-0.1263643159604531,32
TRAP1,CCT6A,0.10109079875337483,32
TRAP1,CLPX,0.16736459907170095,32
TRAP1,CRYAB,-0.11420448858814145,32
TRAP1,DNAJA3,0.6128260761530929,32
TRAP1,DNAJB2,-0.2278473357937146,32
TRAP1,DNAJB6,-0.10410721035195075,32
TRAP1,DNAJC15,-0.2049507906029596,32
TRAP1,DNAJC19,-0.18975123048303474,32
TRAP1,DNLZ,-0.03557678623709747,32
TRAP1,GRPEL1,0.018424052643737837,32
TRAP1,GRPEL2,-0.07630419412555241,32
TRAP1,HSCB,-0.27180064221805933,32
TRAP1,HSP90AA1,-0.04965203346170577,32
TRAP1,HSP90AB1,0.19630085753421722,32
TRAP1,HSPA9,0.2210851786599457,32
TRAP1,HSPB1,-0.2054850863872693,32
TRAP1,HSPB7,-0.09065430953262933,32
TRAP1,HSPB8,-0.10777695156247644,32
TRAP1,HSPD1,0.15396320083021023,32
TRAP1,HSPE1,-0.27065061495234016,32
TRAP1,SDHAF1,-0.1263643159604531,32
